store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,ML0426KAP0001358,2026-05-31T09:00:00Z,274.36
STORE_BLR_002,ML0426KAP0001399,2026-05-31T09:08:00Z,99
STORE_BLR_002,ML0426KAP0001353,2026-05-31T09:16:00Z,553.17
STORE_BLR_002,ML0426KAP0001384,2026-05-31T09:24:00Z,1448.18
STORE_BLR_002,ML0426KAP0001393,2026-05-31T09:32:00Z,466.67
STORE_BLR_002,ML0426KAP0001333,2026-05-31T09:40:00Z,49.5
STORE_BLR_002,ML0426KAP0001408,2026-05-31T09:48:00Z,198
STORE_BLR_002,ML0426KAP0001324,2026-05-31T09:56:00Z,1
STORE_BLR_002,ML0426KAP0001384,2026-05-31T10:04:00Z,0.8
STORE_BLR_002,ML0426KAP0001369,2026-05-31T10:12:00Z,215.67
STORE_BLR_002,ML0426KAP0001321,2026-05-31T10:20:00Z,302.33
STORE_BLR_002,ML0426KAP0001324,2026-05-31T10:28:00Z,397.38
STORE_BLR_002,ML0426KAP0001333,2026-05-31T10:36:00Z,49.5
STORE_BLR_002,ML0426KAP0001336,2026-05-31T10:44:00Z,0
STORE_BLR_002,ML0426KAP0001418,2026-05-31T10:52:00Z,224.31
STORE_BLR_002,ML0426KAP0001399,2026-05-31T11:00:00Z,299.39
STORE_BLR_002,ML0426KAP0001324,2026-05-31T11:08:00Z,199
STORE_BLR_002,ML0426KAP0001401,2026-05-31T11:16:00Z,249
STORE_BLR_002,ML0426KAP0001324,2026-05-31T11:24:00Z,614.54
STORE_BLR_002,ML0426KAP0001337,2026-05-31T11:32:00Z,225
STORE_BLR_002,ML0426KAP0001358,2026-05-31T11:40:00Z,181.76
STORE_BLR_002,ML0426KAP0001348,2026-05-31T11:48:00Z,799
STORE_BLR_002,ML0426KAP0001353,2026-05-31T11:56:00Z,0
STORE_BLR_002,ML0426KAP0001324,2026-05-31T12:04:00Z,469.77
STORE_BLR_002,ML0426KAP0001403,2026-05-31T12:12:00Z,450
STORE_BLR_002,ML0426KAP0001353,2026-05-31T12:20:00Z,691.64
STORE_BLR_002,ML0426KAP0001418,2026-05-31T12:28:00Z,224.31
STORE_BLR_002,ML0426KAP0001374,2026-05-31T12:36:00Z,495
STORE_BLR_002,ML0426KAP0001347,2026-05-31T12:44:00Z,400
